,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2018,K/L,"Dit. Statistik Harga, BPS",Perjanjian Kerja Sama,SesDitjen PRL,1/PRL/KKP/PJ/II/2018,"Dir. Statistik Harga, BPS",04A.08.15/KS.P/15-II/2018,,2/15/2018,12/31/2018,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Dwg1ftHUutinLbWF9Y4NXhxEuZE_KGLD/view?usp=drive_link
2018,BUMN,Bank Mandiri,Perjanjian Kerja Sama,Dirjen PB,1/PB/KKP/PKS/I/2018,Direktur Kelembagaan,DIR.PKS/002/2018,,1/11/2018,,,Dokumen,https://drive.google.com/file/d/1Q57OCBW5yIMZXjVlOi2cLF2rCoL9Dx7Z/view?usp=drive_link
2019,K/L,"Ditjen Kesehatan Masyarakat, Kemenkes",Perjanjian Kerja Sama,Dirjen Kesehatan Masyarakat,HK.03.01/V/1801/2019,Dirjen PDSPKP,11/PDSPKP-KKP/PKS/XII/2019,5,12/14/2019,12/14/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1coqP9fUgxH2nNyrw9EFG13k7kWrUVOIj/view?usp=drive_link
2019,K/L,Kemenhub,Kesepakatan Bersama,MKP,08/MEN-KP/KB/XII/2019,MenHub,PJ.105 TAHUN 2019,5,12/4/2019,12/4/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1LU1BdrodGlj03qHB9zX7uR9c-q_in0ZG/view?usp=drive_link
2019,K/L,BNN,Nota Kesepahaman,Ka. BNN,NK/115/X/KA/HK/2019/BNN,MKP,06/MEN-KP/KB/X/2019,5,10/18/2019,10/18/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1LaXHYImTYUHOynssS1rNe6R4zHx_CP5K/view?usp=drive_link
2019,K/L,BAKAMLA,Kesepakatan Bersama,MKP,07/MEN-KP/KB/X/2019,Ka.BAKAMLA,SP - 029/BAKAMLA/X/2019,5,10/18/2019,10/18/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1K-EX6R5ot3cPszGCCj0FiOijqyz0tgob/view?usp=drive_link
2019,K/L,"Deputi Bid Pencegahan, Perlindungan, dan Deradikalisasi, BNPT",Perjanjian Kerja Sama,"Deputi Bid Pencegahan, Perlindungan, dan Deradikalisasi, BNPT",HK.02.00/10/2019,Sekjen KKP,08/PKS-DJPSDKP/IX/2019,5,9/10/2019,9/10/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1g8GiIk-gprUDMGqnckFjmaRpgUUCfcgD/view?usp=drive_link
2019,K/L,BNPT,Nota Kesepahaman,Ka. BNPT,HK.02.00/9/2019,MKP,04/MEN-KP/KB/IX/2019,5,9/10/2019,9/10/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1wQMLI6sxC3LK65zbhrmng6XvbeVO36hG/view?usp=drive_link
2019,K/L,BNP2TKI,Kesepakatan Bersama,MKP,05.1/MEN-KP/KB/IX/2019,Ka.BNP2TKI,B.12/Ka-MoU/IX/2019,5,9/10/2019,9/10/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1sDpEWO8BMnmOWGK44LTknkVLhQDERdY_/view?usp=drive_link
2019,K/L,LIPI,Nota Kesepahaman,MKP,05/MEN-KP/KB/IX/2019,Ka. LIPI,61/KS/LIPI/IX/2019,5,9/9/2019,9/9/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1GbguVhlSkbGqibI7P6OYmQlL2Mmsbd9l/view?usp=drive_link
